Name,Longitude,Latitude
Hawarden City Park,-96.488,43.003
Henderson Co Park,-94.37,41.988
Hickory Grove County Park,-93.353,41.99
Hickory Hills Park - La Porte City,-92.311,42.27
Hickory Hills Park - New Virginia,-93.609,41.18
Hills Access,-91.521,41.555
Hills Park - Sheldon,-95.853,43.191
Hillview County Rec Area,-96.319,42.637
Hitchcock County Nature Center,-95.857,41.413
Hoefle - Dulin Area County Park,-91.976,42.164
Holbert Park,-91.311,42.614
Honey Creek State Park,-92.928,40.861
Hopeville Square Co Park,-93.997,40.943
Horseshoe Pond,-90.664,42.055
Howards Woods,-92.559,42.985
Howell Station - Red Rock Lake,-92.973,41.365
Hubinger Landing Park,-91.38,40.391
Huff - Warner Access Area,-96.134,41.925
Hyde Park,-94.575,42.113
Ida Grove City Park,-95.467,42.348
Independence City RV Park,-91.891,42.461
Indian Lake Park,-91.752,40.633
Indian Path Park,-91.236,40.724
Ingebretson County Park,-93.377,42.943
Interstate Co Park,-92.881,43.319
Iowa Lake Co Campground,-94.459,43.491
Iowa Lake Co Park,-95.455,43.5
Iowa River RV Park,-93.617,42.846
Iowa State Fairgrounds,-93.551,41.599
Island Park - Rock Rapids,-96.171,43.436
Island Park Co Park,-94.014,41.621
Island View - Rathbun Lake,-92.906,40.827
Ivans - Red Rock Lake,-92.981,41.368
Jakway County Park,-91.741,42.599
Jefferson County Park,-91.988,40.993
Jester County Park,-93.775,41.78
Joe Sheldon County Park,-94.261,42.731
Joinerville County Park,-90.751,42.079
Joy Springs County Park,-91.597,42.677
Kearny Park,-94.68,43.122
Kennedy County Park,-94.192,42.583
Klocks Island Park,-91.816,42.844
Kokesh Co Park,-94.339,40.792
Koser Spring Lake Park,-95.554,42.704
Lacey - Keosauqua State Park,-91.981,40.709
Lake Ahquabi State Park,-93.583,41.296
Lake Anita State Park,-94.762,41.433
Lake Binder Co Park,-94.711,41.003
Lake Considine,-92.917,42.716
Lake Cornelia Park,-93.692,42.793
Lake Darling State Park,-91.896,41.192
Lake Fisher,-92.446,40.759
Lake Hendricks Co Park,-92.55,43.373
Lake Icaria Co Park,-94.735,41.056
Lake Iowa County Park,-92.182,41.636
Lake Keomah State Park,-92.541,41.29
Lake Macbride State Park,-91.577,41.798
Lake Manawa State Park,-95.854,41.197
Lake Meyer County Park,-91.911,43.173
Lake of Three Fires State Park,-94.684,40.713
Lake Orient Rec Area,-94.437,41.2
Lake Pahoja Rec Area,-96.465,43.386
Lake Sugema County Park,-91.994,40.683
Lake Wapello State Park,-92.589,40.816
Lakeside Co Park,-93.504,40.877
Larson Lake Co Park,-95.388,42.73
Ledges State Park,-93.887,41.983
Legion City Park,-95.23,41.023
Lelah Bradley Park,-92.886,40.715
Lenon Mill Co Park,-94.57,41.687
Lewis and Clark State Park,-96.162,42.027
Lidtke Park,-92.279,43.466
Lime Creek Conservation Area - Mason City,-93.194,43.184
Lime Creek Park - Brandon,-91.981,42.327
Linder Point - Coralville Lake,-91.543,41.725
